SMILES,Reward,Step,Sim,Imp
CC(C)CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-10.703344563482544,43,0.6515151515151515,1.0193930913268456
CC(C)CC[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-10.703344563482544,155,0.6515151515151515,1.0193930913268456
C[C@@]12CN3C[C@@](C4CCCC4)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-10.73237370882866,128,0.6086956521739131,0.9903639459807287
C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCC(C3C4CCCCC43)C1)C2,-10.781739904564773,37,0.6301369863013698,0.9409977502446161
CC(=O)CCC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.107050363705714,179,0.6231884057971014,0.6156872911036757
C=C(C)C(=O)CC[C@@]12CN3C[C@@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.172824193817494,70,0.6056338028169014,0.5499134609918954
CC(=O)C(C)CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.223830262601027,131,0.6056338028169014,0.49890739220836267
CC(=O)C(C)CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.223830262601027,123,0.6056338028169014,0.49890739220836267
C=C(C)C[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.297413544732073,71,0.6825396825396826,0.42532411007731596
CC(C)C(C[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)N=N,-11.363093090788034,105,0.6056338028169014,0.35964456402135525
CC(C)(C=O)CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.401868811771575,154,0.6056338028169014,0.3208688430378146
CC(C)C(C[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)N=O,-11.4437264608307,152,0.6056338028169014,0.2790111939786897
CC(=O)CC[C@@]12CN3C[C@@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.466091948893157,84,0.6515151515151515,0.2566457059162328
CC(=O)CC[C@@]12CN3C[C@@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.466091948893157,59,0.6515151515151515,0.2566457059162328
C[C@@]12CN3C[C@](C4CCCS4)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.543831919388447,36,0.6086956521739131,0.17890573542094224
CC(CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)N=O,-11.57333127118891,131,0.6231884057971014,0.1494063836204802
CC(CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)N=O,-11.57333127118891,123,0.6231884057971014,0.1494063836204802
C[C@@]12CN3C[C@](CCCN=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.642216215673107,183,0.6176470588235294,0.08052143913628207
CC(=O)N=C(C)C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.669895995716448,87,0.6056338028169014,0.05284165909294103
C[C@]12CN3C[C@](CCC(=O)O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.737017615989403,70,0.6268656716417911,-0.014279961180013956
C[C@@]12CN3C[C@@](C4=CC4)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.755222335176782,128,0.6774193548387096,-0.032484680367392826
C[C@@]12CN3C[C@@](C4=CC4)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.755222335176782,185,0.6774193548387096,-0.032484680367392826
CC(=O)CC1CCC([C@@H]2N3C[C@@]4(C)C[NH+]2C[C@@](C)(C3)C4)C1,-11.770847215294623,45,0.6119402985074627,-0.048109560485233516
CC(=O)CC1CCC([C@@H]2N3C[C@@]4(C)C[NH+]2C[C@@](C)(C3)C4)C1,-11.770847215294623,60,0.6119402985074627,-0.048109560485233516
CC(CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)N=S,-11.80220651134685,125,0.6231884057971014,-0.07946885653745994
CC(=O)C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.859724952756537,21,0.6825396825396826,-0.13698729794714737
CC(=O)C[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.859724952756537,90,0.6825396825396826,-0.13698729794714737
CC(=O)C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.859724952756537,33,0.6825396825396826,-0.13698729794714737
CC(CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)[SH](=N)=N,-11.994525223097407,182,0.6056338028169014,-0.2717875682880173
C[C@@]12CN3C[C@](CCC=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.004871225920175,129,0.6461538461538462,-0.2821335711107853
C=C(O)C1CCCC1[C@@H]1N2C[C@@]3(C)C[NH+]1C[C@@](C)(C2)C3,-12.022863253964434,19,0.6153846153846154,-0.3001255991550451
C[C@@]12CN3C[C@@](CCN=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.023539683804099,72,0.6461538461538462,-0.30080202899470976
C[C@@]12CN3C[C@](CCN=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.023539683804099,129,0.6461538461538462,-0.30080202899470976
C=C[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.070374189511575,36,0.711864406779661,-0.34763653470218614
C[C@]12CN3C[C@](CC(=O)O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.091805297269218,84,0.65625,-0.3690676424598287
CC(=O)C1CCC([C@@H]2N3C[C@@]4(C)C[NH+]2C[C@@](C)(C3)C4)C1,-12.096204211584897,7,0.640625,-0.373466556775508
CC(=O)[C@@]12CN3C[C@@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.098295964731378,16,0.7166666666666667,-0.37555830992198835
CC(=O)S[C@@]12CN3C[C@@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.13366515201293,62,0.6825396825396826,-0.4109274972035415
C[C@@]12CN3C[C@@](CSC(N)=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.22297565807434,87,0.6268656716417911,-0.5002380032649505
C[C@@]12CN3C[C@@](CCC(N)=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.227421288513696,42,0.6268656716417911,-0.5046836337043068
C[C@@]12CN3C[C@@](CCC(N)=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.227421288513696,57,0.6268656716417911,-0.5046836337043068
C[C@@]12CN3C[C@@](CCC(N)=O)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-12.227421288513696,42,0.6268656716417911,-0.5046836337043068
C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1SN=N)C2,-12.259037100372424,69,0.6060606060606061,-0.536299445563035
CC(C)(CC[C@@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2)[SH]=O,-12.268938508740986,102,0.6056338028169014,-0.5462008539315963
