SMILES,Reward,Imp,MW,step,Sim
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(O)C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.869024474908812,0.19066439759946452,,1962,0.044642857142857144
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@]([O-]))(C)))C(C#N)1,0.8684013220485717,0.19004124473922424,,-1987,0.05263157894736842
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2(-c3ccccn3)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8618617738962518,0.1835016965869044,,1921,0.041666666666666664
C([C@@H])1C([C@H]2CCC[C@H]2)(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8555948074579659,0.17723473014861846,,1920,0.07758620689655173
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@]([C@@](C)(C)))))C(C#N)1,0.8418781506358074,0.16351807332645996,,1945,0.05128205128205128
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(=[C@@]))2))([C@H](/[C@])(C)))C(C#N)1,0.8413349633240421,0.16297488601469468,,1907,0.05
C([C@@H])1C([C@H])(C(C(C)))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8397411790009305,0.16138110169158304,,1917,0.0603448275862069
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(N3c4ccccc4n3C)3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8382776157311006,0.15991753842175316,,1906,0.056910569105691054
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1([C@H](O)),0.838019756544132,0.15965967923478452,,1953,0.03389830508474576
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(CS[C@@H])3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8373322048667619,0.1589721275574144,,1993,0.07339449541284404
C([C@@H])1([C@H]2COC2)C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8304733071956982,0.1521132298863508,,1950,0.05785123966942149
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(-c3ccc(C)o3)c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8282315998863213,0.1498715225769739,,1946,0.04032258064516129
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N([C@@H](C#C))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8212993508570009,0.14293927354765346,,1914,0.0423728813559322
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C[C@@H](C)C)))C(C#N)1,0.8183828924541899,0.1400228151448425,,1934,0.05042016806722689
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@](S[C@H])C)))C(C#N)1,0.8145053125672125,0.13614523525786504,,1949,0.05128205128205128
C([C@@H])1C([C@H])(C([C@](C)(O)CN)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8122754951361156,0.1339154178267682,,1912,0.05172413793103448
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](N/C=C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8114231228495647,0.1330630455402173,,1938,0.05128205128205128
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2(O)C[C@@H](C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8095777761242007,0.13121769881485323,,1921,0.06363636363636363
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c([C@H]3CCOC3)3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8088810527631058,0.1305209754537584,,1932,0.07317073170731707
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c([C@@H]3CCOCC3)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8084936610256251,0.1301335837162777,,1911,0.08130081300813008
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@@H]2C[C@@H](C)O[C@@H]2C[C@H]))C(C#N)1,0.8064079201476818,0.12804784283833437,,1942,0.06451612903225806
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(OC(=O)[C@H])2))([C@H](/[C@])(C)))C(C#N)1,0.8063497524604571,0.1279896751511097,,1958,0.08256880733944955
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](N2CCCCC[C@H]2)))C(C#N)1,0.805090592365805,0.1267305150564576,,1989,0.06349206349206349
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C(=O)[C@H](C))(C#N)1,0.8034481725681457,0.12508809525879827,,1940,0.058333333333333334
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C([C@@H](C)C[C@@H])(C#N)1,0.800289736140174,0.12192965883082652,,1940,0.040983606557377046
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)c(N/C(=O)[C@H])c(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.8002586403598637,0.12189856305051627,,1935,0.07627118644067797
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(C[C@@H]3CC[C@H]3C)2))([C@H](/[C@])(C)))C(C#N)1,0.7976481693819335,0.11928809207258606,,1981,0.09649122807017543
C([C@@H])1C(N[C@@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7973881005757548,0.11902802326640738,,1986,0.05263157894736842
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C(/C(C)[C@])2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7973642081327658,0.11900413082341832,,1926,0.05172413793103448
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C([C@H]2C[C@H]2)2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7973642081327658,0.11900413082341832,,1926,0.0603448275862069
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(S(=O)(=O)[C@])(C#N)1,0.7913081998332399,0.11294812252389241,,1940,0.05
C([C@@H])1C([C@H])(C(/C=C/C(=O)N)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7900699828340964,0.11170990552474891,,1912,0.06956521739130435
C([C@@H])1C([C@H])(C(O)[C@@H](C))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7897389128411305,0.11137883553178307,,1917,0.041666666666666664
C([C@@H])1C([C@H])(C(C[C@@H](C#N)O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7891173270949281,0.11075724978558066,,1976,0.05128205128205128
C([C@@H])1C([C@H](C(O)(C)C))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7890385298820447,0.11067845257269726,,1948,0.041666666666666664
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@](C)(O)CCC))C(C#N)1,0.7870741473684238,0.1087140700590764,,1942,0.059322033898305086
C([C@@H])1C(N2C(=O)c2)(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7856132255854142,0.1072531482760668,,1910,0.059322033898305086
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@](O[C@H](C)))(C)))C(C#N)1,0.7843099827419969,0.10594990543264948,,1933,0.05
C([C@@H])1C([C@H](c2OC2))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7817160617940948,0.10335598448474737,,1948,0.05084745762711865
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(c3NCC[C@H]3)c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7806134764872141,0.10225339917786669,,1908,0.06086956521739131
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N([NH+]3CCCCC3)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.77801581580127,0.09965573849192255,,1973,0.064
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](N(C(=O)C(C)(C)C))))C(C#N)1,0.7757360074505004,0.09737593014115298,,1919,0.0743801652892562
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(O[C@H](C)C)C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7753617002707969,0.09700162296144943,,1963,0.05042016806722689
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(C)(C)[C@@H](C)CCC(=O)c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7725529970307892,0.09419291972144173,,1988,0.08547008547008547
C([C@@H])1C([C@@H]([NH+]2CCCC2)C)(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7723960755883077,0.09403599827896025,,1965,0.06557377049180328
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C([C@H][C@@]3COCC3)c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7714709390676163,0.09311086175826888,,1908,0.06837606837606838
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(N[C@@]))2))([C@H](/[C@])(C)))C(C#N)1,0.7712658490527334,0.09290577174338599,,1907,0.06930693069306931
C([C@@H])1C([C@H])(C(N(C[C@H]2CCOC2))([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7705933794560829,0.09223330214673542,,1912,0.09166666666666666
C([C@@H])1C([C@H](N/C(=O)[C@@H]))(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7681867361281,0.08982665881875251,,1994,0.07563025210084033
C([C@@H])1C([C@H])(C)N(C(O[C@@H](C)O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7665894320277029,0.08822935471835547,,1952,0.05042016806722689
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C([C@](C)(N)c3ccccc3)3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7662384622162604,0.08787838490691291,,1906,0.05737704918032787
C([C@@H])1(O[C@H](CC))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7654616230228892,0.08710154571354178,,1916,0.05217391304347826
C([C@H]1CN1)([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.764876492453746,0.08651641514439856,,1930,0.05042016806722689
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(CC3CCCCC3)2))([C@H](/[C@])(C)))C(C#N)1,0.7578767937530713,0.07951671644372382,,1981,0.09322033898305085
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(Cc3noncn3[C@@H])3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7576732134816978,0.07931313617235036,,1903,0.06451612903225806
C([C@@H])1C([C@H](N2CCC[C@H]2C))(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7573128385820597,0.07895276127271222,,1901,0.08870967741935484
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(cc3)CC3([NH+]))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7554556882042579,0.07709561089491046,,1995,0.047619047619047616
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(C(C)CC))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7547214099865596,0.07636133267721212,,1915,0.05785123966942149
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(N3C[C@@H](O)C[C@H](C)3)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7537456872967264,0.07538560998737898,,1914,0.08064516129032258
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(CC(C)n3ncnc3)c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.753251283844717,0.07489120653536951,,1988,0.04838709677419355
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1(N/C(=O)[C@@H](C)),0.7520320192924573,0.07367194198310989,,1970,0.06557377049180328
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2([C@H](C)[C@@H](C)C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7513207814354721,0.07296070412612465,,1944,0.04201680672268908
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)c(N=NC[C@H])c(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7509154669773981,0.07255538966805064,,1983,0.04918032786885246
C([C@@H])1C([C@H]([NH2+]C(C)(C)))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7494284055488789,0.07106832823953146,,1948,0.04132231404958678
C([C@@H])1C([C@@H]2CCCC[C@H]2NC)(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7470637780708241,0.0687037007614767,,1965,0.09016393442622951
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))(-c2ccccc2))C(C#N)1,0.7464543744570578,0.06809429714771031,,1942,0.04065040650406504
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c(/C=C(\S))3)2))([C@H](/[C@])(C)))C(C#N)1,0.7463348743334399,0.06797479702409248,,1904,0.041666666666666664
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3(OC(=O)[S@]))N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7450391680335461,0.06667909072419864,,1913,0.07627118644067797
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)c([C@@H]3CCN3)(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7410757465539759,0.06271566924462846,,1955,0.06837606837606838
C([C@@H])1C([C@H])(C)N(C(O)([C@@H]([C@H](C)C[C@H](O))(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7406542327670577,0.06229415545771022,,1938,0.04918032786885246
C([C@@H])1C([C@H](N(C(C)C)))(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7402675006153235,0.061907423305976095,,1994,0.04918032786885246
C([C@@H])(/[C@@H](Cl)O)1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7381848474103211,0.059824770100973645,,1928,0.03333333333333333
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N([NH+](C3CCCC[C@H]3))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7372789986126387,0.05891892130329124,,1973,0.07086614173228346
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H]([C@@H]2C[NH+](C)C(=O)[C@H]2)))C(C#N)1,0.735881081301009,0.0575210039916616,,1919,0.056
C(N(C)C(F)(F)F)1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7352209868239554,0.05686090951460798,,1929,0.04032258064516129
C([C@@H])1C(NC(=O)N2CCCC2)(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7344582347959747,0.056098157486627276,,1986,0.104
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](N(C(=O)C(C)(C)C)[C@H])))C(C#N)1,0.734020187075357,0.05566010976600955,,1989,0.06451612903225806
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C([NH+](C2CC2))c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7306126786332605,0.05225260132391307,,1925,0.075
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2(Cc3cccc(F)c3C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7260040206736822,0.04764394336433475,,1944,0.04580152671755725
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(CCc3cc(Cl)ccc3)3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7243317422690494,0.04597166495970195,,1969,0.0743801652892562
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N([NH+](C(C)C)C[C@H])cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7197012296013643,0.04134115229201685,,1914,0.04838709677419355
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(/NC(=O)C3CCCC3)3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7188694769967281,0.040509399687380654,,1906,0.13392857142857142
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(c3NC(=O)CO3))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7188647876607593,0.0405047103514119,,1915,0.06299212598425197
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(C[NH+](C)C[C@@H])3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7188121695196995,0.040452092210352064,,1993,0.07964601769911504
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)c(N3CCCC[C@H]3C)(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7177666055027492,0.039406528193401735,,1955,0.08943089430894309
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C(c(C2CC)CC2)2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7174143696620805,0.039054292352733055,,1984,0.09090909090909091
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(Cc3ccccc3CC))2))([C@H](/[C@])(C)))C(C#N)1,0.7166735190732187,0.0383134417638713,,1967,0.06611570247933884
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)c(N3C(=O)[C@@H](C)N3CC)c(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7152399759258323,0.036879898616484885,,1983,0.06153846153846154
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))(-c2cc(C)sc2))C(C#N)1,0.7152278736509515,0.03686779634160409,,1980,0.040983606557377046
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(OC[C@H](C)C)C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7142416934198738,0.035881616110526315,,1963,0.05785123966942149
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@]([C@H]2NC(=O)C[C@H]2C)C)))C(C#N)1,0.7129681764674282,0.03460809915808072,,1949,0.0703125
C([C@@H])1C(C[C@@H]2CCCC[NH2+][C@@H]2C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7120547051663667,0.033694627857019266,,1923,0.0859375
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(S[C@H]2CCC[C@@H]2)(C#N)1,0.7116246991772822,0.033264621867934774,,1982,0.07142857142857142
C([C@@H])1C([C@H])(C)N(C(CNC(=O)C2CCC2)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7102962886395068,0.031936211330159336,,1952,0.1322314049586777
C([C@@H])1C([C@H](S2CCCC2)C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7102730908856681,0.0319130135763207,,1924,0.06666666666666667
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(C[NH+](C)c3ccccc3)2))([C@H](/[C@])(C)))C(C#N)1,0.7102274675523179,0.03186739024297047,,1981,0.046875
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1(N1CC[C@@H](C)C([NH3+])C1),0.7100975664439508,0.03173748913460339,,1970,0.0859375
C([C@@H])1C([C@H])(C(CS(=O)(=O)C))N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7096637135321915,0.031303636222844045,,1968,0.0743801652892562
C([C@@H])1C([C@H])(C(C(=O)N2CCC[C@@H](C)[C@@H]2)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.7053137066209804,0.02695362931163292,,1976,0.10655737704918032
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(CC(c3ccccc3)CC)2))([C@H](/[C@])(C)))C(C#N)1,0.7050707001547825,0.026710622845435017,,1937,0.05737704918032787
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C(c2CCN(C)C2=O)N)1,0.7042552631592537,0.025895185849906244,,1960,0.07086614173228346
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N([C@@H]3CCCN3S(C)(=O)=O)2))([C@H](/[C@])(C)))C(C#N)1,0.7041997789195537,0.02583970161020621,,1937,0.09734513274336283
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C(C(=O)N[C@H]))2))([C@H](/[C@])(C)))C(C#N)1,0.7022509269938392,0.023890849684491733,,1967,0.0970873786407767
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@](c2C(=O)N[C@H]2C))))C(C#N)1,0.7005126740433796,0.022152596734032137,,1945,0.056
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c(/NC(=O)CCC)3)2))([C@H](/[C@])(C)))C(C#N)1,0.6999812953881159,0.02162121807876849,,1997,0.09016393442622951
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C(=CC[C@@H]3CCCCN3))cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.6984281962930956,0.020068118983748162,,1943,0.07874015748031496
C([C@@H])1C([C@H]([C@@H]2C[C@@H]([NH3+])CN2C)C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.6970520427606021,0.018691965451254622,,1947,0.06201550387596899
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2c(C)N(C)cc(Cc3cccc(Cl)n3)2))([C@H](/[C@])(C)))C(C#N)1,0.6964382600952994,0.01807818278595197,,1981,0.048
C([C@@H])1C([C@H])(C)N(C(O)([C@@H](C)(c2(N=[NH+])cc(c3)N(c3)2))([C@H](/[C@])(C)))C(C#N)1,0.6955456018562343,0.01718552454688682,,1964,0.04672897196261682
