SMILES,Reward,Imp,MW,step,Sim,SA
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC(=C[C@@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.9204127170185652,0.31666545592956885,,1949,0.16521739130434782,6.263767617157407
C(\C)(/[O-])c1c(/[C@H])cc(C([C@@H](C)N)([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.911683283924309,0.3079360228353125,,1944,0.1016949152542373,6.543876988145231
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(C[C@@H])c([C@@H])c2)s1,0.9062829642189424,0.3025357031299458,,1976,0.1509433962264151,6.161252326373451
C(\C)(/[O-])c1c(/[C@H])cc(C(NC[C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8925026239709726,0.2887553628819761,,1944,0.11965811965811965,6.744463075680849
C(\C)(/[O-])c1c(/[C@H])cc(C(c2CNC(=O)[C@H](C)C2)c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.870441316781357,0.2666940556923606,,1993,0.1,6.344776786473147
C(\C)(/[O-])c1c(/[C@H])cc(C([C@@H](O)CO)c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8697658446522143,0.26601858356321784,,1929,0.12931034482758622,6.311922822955582
C(\C)(/[O-])c1c(/[C@H])cc(C(NC(=O)[C@@]2(C)OCC2)c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8529456884514331,0.2491984273624367,,1929,0.12698412698412698,6.123141206651964
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)N[C@@H](C)C([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8484133787945449,0.2446661177055485,,1930,0.15,6.268636275709145
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)N([NH3+])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8457020160455381,0.2419547549565416,,1943,0.14285714285714285,6.290476422102398
C(\C)(=C)c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8442558905843687,0.24050862949537224,,1901,0.1565217391304348,5.940730780148262
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(c3cc(F)ccc3C)c([C@@H])c2)s1,0.8381858409922709,0.23443857990327446,,1996,0.17796610169491525,5.220544888075439
C(\C)(/[O-])c1c(/[C@H])cc(C(/C=[NH+])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8374441899365239,0.23369692884752746,,1952,0.10526315789473684,6.754211637045968
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([C@H]([NH3+]))c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8358134767125074,0.2320662156235109,,1965,0.15254237288135594,6.535606310053664
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(c(SC)c3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8204364636107736,0.21668920252177715,,1911,0.14049586776859505,6.278940044917928
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c(c3Sc3)c2)s1,0.8194454518311464,0.2156981907421499,,1921,0.15833333333333333,6.166363905001507
C(\C)(/[O-])c1c(/[C@H])cc(C(c2)C[NH+]2CCC(F)c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8179060667030392,0.2141588056140428,,1929,0.12,6.803751418544302
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(c([C@@H](C#N)C)c3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8114687070560732,0.2077214459670768,,1911,0.1349206349206349,6.353863737501554
C(NC[C@@H])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8105369352278736,0.2067896741388772,,1933,0.16101694915254236,6.14763262885148
C(\C)(/[O-])c1c(/[C@H](/c2ccsc2)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.8016200390247759,0.1978727779357794,,1906,0.13114754098360654,6.296576703740808
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)N(C[C@H]([NH3+]))C([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7985021057265503,0.19475484463755388,,1982,0.13709677419354838,6.6916589288533315
C(\C([C@H](O)))c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7965017134041952,0.19275445231519872,,1938,0.16101694915254236,6.130802528517032
C(\C)(C([O-])CC)c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7950905665865725,0.19134330549757605,,2000,0.1557377049180328,6.3512451852353955
C(\C)(/[O-])c1c(/[C@H])cc(C([NH+]2C[C@@H]2CC)([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7941800374086923,0.1904327763196958,,1944,0.10483870967741936,7.073754207968959
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC(N2C(=O)Cc2)c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7937030699715307,0.18995580888253427,,1949,0.1532258064516129,5.871747813995586
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C(C4)N(C4CC)[C@H]3)c([C@@H])c2)s1,0.7897757494294784,0.1860284883404819,,1972,0.1484375,6.420951788999584
C(\C)(/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c(N3CCOCC3)c2)s1,0.7845125607532312,0.1807652996642347,,1957,0.13740458015267176,5.696418260858278
C(\C(C[NH+])/[O-])c1c(/[C@H])cc(C(=O)NC([C@H])([S@])c2(cc3)[C@H](C[C@H]3)c([C@@H])c2)s1,0.7841403672481857,0.18039310615918924,,1988,0.15833333333333333,6.59945599600909
